order_id,user_id,order_date,product_id,qty,unit_price,region
o000001,u066,2024-02-02,p0010,4,9000,Incheon
o000002,u072,2024-04-10,p0013,4,9000,Incheon
o000003,u112,2024-06-21,p0016,4,20000,Incheon
o000004,u130,2024-06-19,p0008,4,20000,Seoul
o000005,u079,2024-03-06,p0026,1,30000,Incheon
o000006,u097,2024-05-22,p0044,3,20000,Gwangju
o000007,u111,2024-04-21,p0025,1,30000,Incheon
o000008,u104,2024-03-28,p0027,3,9000,Daegu
o000009,u021,2024-01-26,p0038,1,9000,Busan
o000010,u148,2024-03-09,p0044,3,9000,Incheon
o000011,u025,2024-04-28,p0027,2,5000,Daegu
o000012,u062,2024-06-28,p0018,1,20000,Busan
o000013,u098,2024-01-01,p0033,1,15000,Daegu
o000014,u061,2024-05-10,p0002,3,,Seoul
o000015,u037,2024-06-03,p0040,1,9000,Gwangju
o000016,u139,2024-06-22,p0076,5,9000,Incheon
o000017,u011,2024-03-18,p0032,4,12000,Busan
o000018,u037,2024-01-22,p0009,4,12000,Incheon
o000019,u149,2024-02-19,p0057,1,9000,Seoul
o000020,u110,2024-06-03,p0011,4,30000,Busan
o000021,u014,2024-06-08,p0016,4,9000,Incheon
o000022,u114,2024-04-25,p0012,2,15000,Seoul
o000023,u146,2024-01-23,p0071,1,12000,Incheon
o000024,u015,2024-01-23,p0079,3,12000,Gwangju
o000025,u063,2024-03-28,p0046,4,20000,Daegu
o000026,u071,2024-04-17,p0050,1,30000,Busan
o000027,u020,2024-01-06,p0052,1,5000,Incheon
o000028,u031,2024-05-04,p0049,2,12000,Busan
o000029,u027,2024-04-09,p0044,3,5000,Incheon
o000030,u028,2024-01-03,p0079,3,12000,Incheon
o000031,u061,2024-01-18,p0059,3,15000,Seoul
o000032,u070,2024-03-23,p0008,2,12000,Seoul
o000033,u036,2024-05-11,p0032,1,9000,Seoul
o000034,u044,2024-05-30,p0078,1,9000,Seoul
o000035,u029,2024-03-19,p0033,1,9000,Busan
o000036,u120,2024-02-23,p0017,4,9000,Seoul
o000037,u032,2024-06-25,p0070,4,12000,Gwangju
o000038,u137,2024-03-24,p0050,3,20000,Gwangju
o000039,u081,2024-02-27,p0046,1,5000,Seoul
o000040,u121,2024-03-21,p0034,3,5000,Busan
o000041,u096,2024-01-03,p0010,5,15000,Incheon
o000042,u040,2024-02-24,p0031,2,20000,Incheon
o000043,u091,2024-04-03,p0035,3,9000,Daegu
o000044,u042,2024-06-16,p0075,3,9000,Gwangju
o000045,u018,2024-05-14,p0025,2,15000,Incheon
o000046,u039,2024-05-22,p0012,3,12000,Incheon
o000047,u042,2024-04-09,p0035,3,20000,Daegu
o000048,u021,2024-01-21,p0080,3,5000,Daegu
o000049,u004,2024-03-12,p0039,4,5000,Busan
o000050,u142,2024-06-30,p0031,3,15000,Daegu
o000051,u078,2024-01-09,p0054,1,12000,Gwangju
o000052,u061,2024-06-09,p0052,1,20000,Busan
o000053,u140,2024-05-04,p0024,3,15000,Seoul
o000054,u034,2024-02-21,p0078,5,12000,
o000055,u061,2024-05-21,p0048,1,5000,Incheon
o000056,u128,2024-06-01,p0005,1,5000,Gwangju
o000057,u095,2024-01-08,p0033,4,20000,Daegu
o000058,u060,2024-01-20,p0074,3,9000,Incheon
o000059,u039,2024-05-01,p0032,2,15000,Busan
o000060,u006,2024-06-30,p0046,2,20000,Daegu
o000061,u013,2024-01-05,p0050,4,30000,Daegu
o000062,u025,2024-05-01,p0057,3,9000,Busan
o000063,u118,2024-01-25,p0070,4,5000,Incheon
o000064,u096,2024-04-28,p0012,2,20000,Gwangju
o000065,u066,2024-04-23,p0042,3,20000,Busan
o000066,u118,2024-01-17,p0043,5,9000,Seoul
o000067,u025,2024-05-03,p0013,2,15000,Gwangju
o000068,u032,2024-06-12,p0054,2,9000,Gwangju
o000069,u059,2024-06-06,p0010,1,20000,Gwangju
o000070,u138,2024-01-06,p0037,4,20000,Busan
o000071,u093,2024-02-14,p0027,1,9000,Incheon
o000072,u128,2024-02-13,p0013,2,12000,Incheon
o000073,u038,2024-03-23,p0066,4,12000,Incheon
o000074,u128,2024-01-27,p0020,1,5000,Gwangju
o000075,u011,2024-06-04,p0021,5,5000,Gwangju
o000076,u035,2024-05-21,p0069,3,30000,Daegu
o000077,u079,2024-05-27,p0071,2,12000,Seoul
o000078,u008,2024-02-06,p0003,3,5000,Seoul
o000079,u129,2024-01-03,p0023,4,5000,Gwangju
o000080,u131,2024-06-14,p0057,3,12000,Gwangju
o000081,u082,2024-02-22,p0063,5,30000,Seoul
o000082,u046,2024-04-29,p0080,5,12000,Busan
o000083,u015,2024-06-14,p0045,2,30000,Busan
o000084,u093,2024-01-07,p0001,4,12000,Busan
o000085,u081,2024-01-01,p0070,2,20000,Incheon
o000086,u114,2024-01-01,p0013,5,20000,Daegu
o000087,u091,2024-01-29,p0010,2,5000,Daegu
o000088,u020,2024-01-10,p0054,2,5000,Daegu
o000089,u019,2024-05-29,p0049,4,30000,Incheon
o000090,u118,2024-04-20,p0005,4,30000,Incheon
o000091,u024,2024-06-27,p0014,1,5000,Seoul
o000092,u141,2024-05-25,p0048,3,15000,Seoul
o000093,u016,2024-06-24,p0021,2,30000,Busan
o000094,u110,2024-02-13,p0055,4,30000,Daegu
o000095,u147,2024-02-22,p0033,3,9000,Gwangju
o000096,u067,2024-06-03,p0048,5,20000,Gwangju
o000097,u009,2024-02-14,p0038,5,15000,Incheon
